Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27,225.600006,226.839996,223.850006,224.690002,221.436829,608200
2023-02-28,224.009995,225.610001,223.649994,223.699997,220.461182,1136900
2023-03-01,222.470001,223.460007,217.460007,219.699997,216.519089,861100
2023-03-02,219.410004,222.289993,218.889999,221.740005,218.529556,735000
2023-03-03,222.289993,223.940002,220.979996,223.250000,220.017700,723100
2023-03-06,221.770004,222.869995,220.490005,220.539993,217.346924,829200
2023-03-07,220.559998,221.300003,219.089996,219.220001,216.046036,806600
2023-03-08,218.710007,220.250000,217.550003,219.300003,216.124893,968900
2023-03-09,220.839996,221.000000,215.100006,215.800003,212.675568,870800
2023-03-10,215.789993,216.190002,211.089996,212.000000,208.930573,1303000
2023-03-13,211.990005,213.869995,210.330002,211.000000,207.945038,1929400
2023-03-14,213.880005,215.679993,212.570007,215.050003,211.936417,1294900
2023-03-15,212.770004,216.250000,212.699997,216.029999,212.902222,1009800
2023-03-16,214.100006,217.149994,213.570007,215.649994,212.527710,854100
2023-03-17,215.000000,215.000000,210.149994,210.899994,207.846481,2607700
2023-03-20,211.789993,216.149994,211.479996,215.399994,212.281342,1134700
2023-03-21,215.949997,216.539993,213.880005,216.169998,213.040192,912900
2023-03-22,216.220001,218.000000,214.119995,214.139999,211.039581,712200
2023-03-23,213.669998,216.110001,213.669998,214.990005,211.877304,918800
2023-03-24,216.169998,218.690002,214.669998,217.949997,214.794418,935600
2023-03-27,219.350006,220.440002,218.800003,219.490005,216.312119,837200
2023-03-28,219.309998,220.759995,219.240005,219.279999,216.105164,721600
2023-03-29,220.660004,223.770004,220.449997,223.679993,220.441452,860800
2023-03-30,224.850006,225.899994,223.639999,224.910004,221.653671,1280100
2023-03-31,226.990005,227.000000,224.639999,225.889999,222.619476,1244400
2023-04-03,226.000000,227.429993,224.770004,225.419998,222.156281,1171200
2023-04-04,225.289993,226.990005,217.050003,218.229996,215.070374,2697900
2023-04-05,220.139999,221.889999,218.100006,221.440002,218.233917,1520700
2023-04-06,224.000000,226.500000,221.009995,224.639999,221.387573,2027800
2023-04-10,225.949997,226.699997,223.039993,224.600006,221.348160,1713500
2023-04-11,224.070007,229.940002,224.070007,228.160004,224.856613,1259400
2023-04-12,228.059998,228.550003,226.190002,226.419998,223.141800,1059400
2023-04-13,226.320007,227.050003,225.139999,226.199997,222.924988,1012600
2023-04-14,225.770004,228.639999,225.059998,228.229996,224.925583,1302600
2023-04-17,228.679993,229.740005,226.259995,229.679993,226.354584,1054600
2023-04-18,229.610001,229.729996,223.520004,227.350006,224.058319,1207600
2023-04-19,227.500000,228.149994,226.309998,227.869995,224.570786,743500
2023-04-20,227.500000,228.720001,226.009995,226.949997,223.664124,728200
2023-04-21,228.300003,228.720001,225.479996,226.440002,223.161514,609900
2023-04-24,226.899994,227.300003,223.399994,224.380005,221.131332,826700
2023-04-25,224.360001,227.339996,223.940002,226.529999,223.250198,573600
2023-04-26,225.550003,227.039993,225.000000,225.440002,222.175980,497500
2023-04-27,225.160004,229.119995,224.009995,228.559998,225.250809,878600
2023-04-28,227.750000,229.470001,226.149994,229.470001,226.147644,695300
2023-05-01,228.779999,231.500000,228.410004,230.229996,226.896622,970400
2023-05-02,229.479996,230.169998,225.929993,228.559998,225.250809,1038900
2023-05-03,229.279999,229.649994,225.229996,225.500000,223.103882,988300
2023-05-04,225.490005,225.669998,221.809998,222.410004,220.046707,1041800
2023-05-05,222.509995,223.520004,221.880005,223.440002,221.065765,1063900
